,Year,Origin State,Material Group Description,Material Description,Purchased Quantity LB,Purchased Value $
60,2011,AZ,"PASTA, OTHER",PASTA SPAGHETTI PKG-12/2 LB ,367200.0,218198.4
61,2011,AZ,"PASTA, MACARONI",WHOLE GRAIN PASTA MACARONI CTN-20 LB ,80000.0,43520.0
62,2011,AZ,"PASTA, MACARONI",WHLGRAIN ROTNMA,340000.0,206414.0
63,2011,AZ,"PASTA, MACARONI",WHOLE GRAIN PASTA ROTINI MAC CTN-20 LB ,168000.0,95872.0
64,2011,AZ,"PASTA, MACARONI",WHOLE GRAIN PASTA ROTINI MAC PKG-20/1 LB ,170000.0,107508.0
65,2011,AZ,SHELL EGG,EGGS 15 DOZEN,33750.0,22050.0
66,2011,AZ,SHELL EGG,EGGS 15 DOZEN,236250.0,183262.5
67,2011,AZ,"VEGETABLE, FRESH",CARROTS FRESH BABY CUTS BAG-100/2 OZ,501467.0,343941.0
68,2011,AZ,FRUIT JUICE FRZ,ORANGE JUICE SINGLE CTN-70/4 OZ,802560.0,381717.0
69,2011,AZ,FRUIT JUICE FRZ,K ORANGE JUICE CONC FRZ CAN-12/32 OZ,72000.0,64368.0
70,2011,CA,"CEREAL, FORTIFIED",CERL-CRN & RICE,705606.0,931398.6
71,2011,CA,"CEREAL, FORTIFIED",CERL-FT RTE OAT,479810.0,662137.8
72,2011,CA,"CHEESE, NATURAL AMER","CHEDR,RDU-FAT-Y",39950.0,89032.57
73,2011,CA,"CHEESE, NATURAL AMER",CHEESE CHED RDU FAT YEL CUTS-4/10 LB ,79900.0,201615.68
74,2011,CA,"CHEESE, NATURAL AMER",CHEESE CHED WHT CUTS-4/10 LB ,39950.0,97501.96
75,2011,CA,"CHEESE, NATURAL AMER",CHEESE CHED YEL CUTS-4/10 LB ,119850.0,274332.68
76,2011,CA,"CHEESE, MOZZARELLA","MOZZ,LT,SHRD,FZ",322560.0,597731.86
77,2011,CA,"CHEESE, MOZZARELLA",CHEESE MOZ LITE SHRED FRZ BOX-30 LB ,2257920.0,4710242.89
78,2011,CA,"CHEESE, MOZZARELLA","MOZZARELLA,LMPS",443520.0,748742.34
79,2011,CA,"CHEESE, MOZZARELLA",CHEESE MOZ LM PART SKIM FRZ LVS-8/6 LB ,4278192.0,8486296.48
80,2011,CA,"CHEESE, MOZZARELLA","MOZZ, LMPS,UNFZ",1854720.0,3190404.61
81,2011,CA,"CHEESE, MOZZARELLA",CHEESE MOZ LM PART SKIM UNFZ PROCESSR PK ,7782308.0,15089467.18
82,2011,CA,"CHEESE, MOZZARELLA","MOZZ,LMPS,SD,FZ",161280.0,326462.96
83,2011,CA,"CHEESE, MOZZARELLA",CHEESE MOZ LM PART SKM SHRD FRZ BOX-30LB ,2540160.0,5388659.06
84,2011,CA,"CEREAL, PROCESSED",FARINA-WHT PROD,659736.0,392282.93
85,2011,CA,"CEREAL, PROCESSED",FARINA WHEAT PKG-24/14 OZ ,737352.0,502218.25
86,2011,CA,"FLOUR, WHEAT",FLR-AP ENR BL,128520.0,55880.49
87,2011,CA,"FLOUR, WHEAT",FLR-BRD ENR BL,214200.0,107506.98
88,2011,CA,"FLOUR, WHEAT",FLR-WHOLE WHT,171360.0,78281.53
89,2011,CA,"MILK, EVAPORATED",EVAPORATED MILK,5985360.0,3553030.86
90,2011,CA,"MILK, EVAPORATED",MILK EVAPORATED CAN-24/12 FL OZ ,220320.0,154176.25
91,2011,CA,VEG OIL PROD DOM,OIL-VEGETABLE,184800.0,145016.27
92,2011,CA,"PASTA, OTHER",PSTA PROD-EGNDL,437760.0,297709.06
93,2011,CA,"PASTA, OTHER",EGGNOODLE 1/2 INCH WIDE PKG-12/1 LB ,322560.0,245998.07
94,2011,CA,"PASTA, MACARONI",PASTA-MAC PLN E,1548800.0,766377.84
95,2011,CA,"PASTA, MACARONI",PASTA MACARONI PLAIN ELBOW PKG-24/1 LB ,856800.0,528980.16
96,2011,CA,"PASTA, MACARONI",PASTA-ROTINI,56000.0,24298.4
97,2011,CA,"PASTA, MACARONI",PASTA ROTINI MACARONI CTN-20 LB ,56000.0,30240.0
98,2011,CA,"PASTA, OTHER",PASTA-SPAGHETTI,2120800.0,962430.4
99,2011,CA,"PASTA, OTHER",PASTA SPAGHETTI CTN-20 LB ,120000.0,60512.0
100,2011,CA,"PASTA, OTHER",PASTA SPAGHETTI PKG-12/2 LB ,1387200.0,778537.44
101,2011,CA,"PASTA, MACARONI",WHOLE GRAIN MAC,40000.0,16600.0
102,2011,CA,"PASTA, MACARONI",WHLGRAIN ROTNMA,694000.0,386576.4
103,2011,CA,"PASTA, MACARONI",WHOLE GRAIN PASTA ROTINI MAC CTN-20 LB ,280000.0,206152.8
104,2011,CA,"PASTA, MACARONI",WHOLE GRAIN PASTA ROTINI MAC PKG-20/1 LB ,306000.0,185735.2
105,2011,CA,"PASTA, OTHER",WHLGRAIN SPAGHT,80000.0,45500.0
106,2011,CA,"PASTA, OTHER",WHOLE GRAIN SPAGHETTI CTN-20 LB ,280000.0,218800.0
107,2011,CA,"RICE, GRAIN",RICE-MLD US#1 M,252000.0,145807.2
108,2011,CA,"RICE, GRAIN",RICE US#1 MEDIUM GRAIN BAG-25 LB ,210000.0,110985.0
109,2011,CA,"RICE, GRAIN",RICE-MLD US#2 L,840000.0,305134.2
110,2011,CA,"RICE, GRAIN",RICE US#2 LONG GRAIN PKG-24/2 LB ,882000.0,315693.0
111,2011,CA,"RICE, GRAIN",RICE-MLD US#2 M,42000.0,20718.6
112,2011,CA,"CEREAL, PROCESSED",PANCAKES WW FZN,90720.0,67223.52
113,2011,CA,"FRUIT, CANNED",APRICOTS HALVES EX LT CAN-6/10,147744.0,89996.16
114,2011,CA,"FRUIT, CANNED",APRICOTS DICED PEELED EX LT CAN-6/10,184680.0,111902.4
115,2011,CA,"FRUIT, CANNED",PEACHES CLING SLICES EX LT CAN-6/10,3878964.0,2364478.56
116,2011,CA,"FRUIT, DRIED",RAISINS CTN-30 LB,82800.0,99608.4
117,2011,CA,"FRUIT, DRIED",RAISINS PKG-24/15 OZ,155520.0,206254.08
118,2011,CA,"FRUIT, CANNED",APRICOTS HALVES EX LT CAN-6/10,775656.0,418662.72
119,2011,CA,"FRUIT, CANNED",APRICOT HALVES CAN-24/300,1458000.0,1001532.6
120,2011,CA,"FRUIT, CANNED",MIXED FRUIT CAN-24/300,5175900.0,3142913.4
121,2011,CA,"FRUIT, CANNED",MIXED FRUIT EX LT CAN-6/10,14527313.25,7715813.18
122,2011,CA,"FRUIT, CANNED",PEACHES CLING SLICES CAN-24/300,5832000.0,3770323.2
123,2011,CA,"FRUIT, CANNED",PEARS DICED EX LT CAN-6/10,1224816.0,706581.12
124,2011,CA,"VEGETABLE, CANNED",TOMATO CAN-24/300,422820.0,169403.4
125,2011,CA,"VEGETABLE, CANNED",TOMATO DICED CAN-24/300,528525.0,216869.4
126,2011,CA,"VEGETABLE, CANNED",TOMATO SALSA CAN-6/10,1051308.0,487664.64
